2019-11-28 16:23:27+00:00,"Kemaren waktu wacana celana cingkrang dan cadar dilarang bagi ASN, mereka harus ikut aturan pemerintah kalau gak mau nurut resign bla...bla...bla Skrg LGBT dilarang daftar CPNS Kejaksaan RI, katanya Hak azasi bla...bla Dasar kaum standar ganda"
2019-11-28 15:58:40+00:00,"Kemaren waktu Menag masalahin yg celana cingkrang dan bercadar kerja sebagai ASN dan pegawai BUMN, akun partai itu kok gak teriak2 soal kasih sayang, sesama makhluk Allah gak boleh dihilangin HAK nya ya uni?"
2019-11-28 12:08:21+00:00,HAM harus di junjung tinggi. ASN tdk apa apa pakaj cadar dan celana cingkrang. ASN tdk apa apa LGBT. Keadilan bagi semuanya. 
2019-11-28 06:42:37+00:00,Dan anehnya sampai ada muncul wacana pelarangan penggunaan cadar dan celana cingkrang bagi ASN yang seolah penggunanya terpapar radikalisme agama. Tapi para elite gagap ketika radikalisme liberal berhasil merusak sendi kehidupan sosial masyarakatnya. Radikal Radikul euy! 
2019-11-28 04:02:41+00:00,"Hari 1 : Tidak boleh ada cingkrang dan cadar | diprotes Hari 2 : Cingkrang dan cadar tidak boleh di lingkungan ASN | diprotes Hari 3 : aturan itu berlaku di lingkungan kemenag | diprotes lagi Hari hari selanjutnya : hanya berlaku di binmas kristen, budha, tapir minoritas lainnya."
2019-11-28 01:51:56+00:00,"yg diurus maunya yg gini2. ngapain yg diurus sgala asn cadar &amp; cingkrang. itu cm akibat. kalo ""sebab-sebab""nya dibrantas, ""akibat-akibat""nya pst ikut ilang"
2019-11-28 01:22:51+00:00,"#politikBarter Celana cingkrang dn cadar tidak boleh dikenakan ASN, &gt;&lt;orientasi seksual syarat masuk ASN. Prabowo jadi menteri &gt;&lt; Ahok komisari pertamina Rizieq Shihab ga balik &gt;&lt; FPI lanjut Menyusul RUU-PKS &gt;&lt;Revisi UU KPK entah mau gimana barterannya "
2019-11-27 23:58:43+00:00,"Apalagi saat bahas ASN Cingkrang dan Cadar, dengan suara lantang, serak (((KELUAAAAAR))) Eh sekarang koq jadi kayak yg di film Susana..... (((Bokir Kecuuuuuuuuuuut)))"
2019-11-26 09:58:30+00:00,"agnez mo tidak bercadar palagi bercelana cingkrang, nasionalisme mu tak kan pudar walau mengaku tdk memiliki darah indonesia, palagi agnez bkn ASN tenang sj tetp berkarya menag tak kan mencampuri urusanmu"
2019-11-25 19:14:12+00:00,"menteri agama larang Orang bercadar dan celana cingkrang masuk ASN.. Partai Islam Diam ?!! Kejagung larang LGBT daftar CPNS.. Partai Islam Ngamuk"" ?!! disitulah kalian terlihat ngegemesin #ObrolanLelaki"
2019-11-24 15:57:35+00:00,"Cingkrang tak boleh asn, Maka sarung pun diganti celana. Yai pun berganti sebutan."
2019-11-24 13:12:11+00:00,"Iyak, ktika Menag melarang clana cingkrang dan cadar di Kementeriannya, doi diam bae. Tdk memandang hal itu diskriminatif. Eeh...ktika Kejagung melarang LGBT jadi ASN, tetiba doi tereak diakriminatif. Liberal celup. "
2019-11-24 12:58:07+00:00,Lhoiya bang Mule. Menag kita persoalkan sejak teriak2 soal celana cingkrang. Ngapain sih Menag urus fashion ASN. Biar diurus sama KemenPAN&amp;RB bekerjasama dengan Itang Yunasz atau Ivan Gunawan aja.
2019-11-24 05:45:09+00:00,Banyak pak..noh di BUMN2 dan ASN byk terpapar radikalis..pd mo gnti srgam pke celana cingkrang sm cadar...mo ngarab lbh dr Arab..pdhl negara kita pny identitas sdri tp mlh bangga pke indentitas negara laen...
2019-11-22 13:54:39+00:00,Larangan Cadar dan Celana Cingkrang yg dianggap gak sesuai dengan aturan ASN lo gak komen...?
2019-11-22 08:14:31+00:00,"Pak menag harusnya juga malu, masa ASN gaboleh pake celana cingkrang. Malu pak. "
2019-11-22 06:47:23+00:00,"Nu kieu disebut melanggar HAM. Ketika Menag melarang ASN bercadar dan bercelana cingkrang,suara kalian kemana?? Hak Asasi Manusia MY ASS!!! "
2019-11-22 03:42:32+00:00,"Sama aja sih kaya larangan cadar, celana cingkrang buat ASN. katanya kemarin suruh naatin aturan, gini aja langsung koar2 diskriminasi. Lah yg kemaren apa juga dong?"
2019-11-21 16:12:32+00:00,Tidak jauh beda ketika pemerintah menyatakan opini mereka mengenai larangan Cadar dan celana cingkrang para ASN. Yg di sebabkan oleh segelintir org pelaku bom laknatullah
2019-11-21 10:28:37+00:00,"Kepada para ulama, Menag tegaskan dirinya tidak pernah melarang celana cingkrang dan cadar. Menag hanya minta ASN patuhi aturan yg sudah disepakati, termasuk Surat Keputusan Bersama (SKB) tentang Penanganan Radikalisme ASN dalam rangka Penguatan Wawasan Kebangsaan pada ASN. "
2019-11-21 08:39:28+00:00,https://mobile.twitter.com/TukangC81051970 Penampilan cingkrang seperti ini dilarang menjadi ASN.
2019-11-21 03:52:52+00:00,Simpati sih sah saja.... Cuma kita gak bisa menyalahkan karna mungkin itulah aturan dari institusi POLRI.... Seperti ASN cingkrang dan cadar di kantor dinas... itu aturan institusi tsb.. SEMOGA SEMUA ADALAH KEDISIPLINAN...
2019-11-21 01:26:11+00:00,"Asn dilarang menggunakan Celana Cingkrang dan Cadar: ""Kementerian Agama laknatullah, gausah menganggu ranah privat lah"". Asn dilarang LGBT: ""Bagus lah, LGBT najis"". Gay itu emang suka cowo, tapi ga semua cowo dia suka, sama kaya yg hetero. Double standard."
2019-11-20 08:02:16+00:00,"Gak suka aturannya ya silahkan angkat kaki dr Yogyakarta, sama aja kan sama aturan pemerintah melarang asn bercelana cingkrang &amp; bercadar... Karena sudah ada aturannya... Sampe sini paham koh...."
2019-11-20 03:49:46+00:00,"Rasulullah Saw pake gamis, g pake celana cingkrang. Sedang celana cingkrang lebih cenderung pakaian ala Afghanistan. Jd, sah2 aja atribut itu dilarang atas dasar peraturan pakaian PNS/ASN"
2019-11-20 02:18:35+00:00,"Kenapa Ahmad Dani tak bisa, terus Ahok bisa, berarti itu sudah melanggar SARA dong . Gue sih kalau liberal ASN mau cingkrang, cadar silakan. Terpapar khilafah silakan, baru terpapar saja takut . Jangan2 kalau saya memaparkan demokrasi liberal, kalian juga ketakutan "
2019-11-20 00:44:17+00:00,"sengaja ASN yg pake atribut cingkrang, jenggotan, cadar, khilafat mau di pecatin dari BUMN, karna REKAN2 CINA nya mau di masukin ke BUMN. ooo gitu. #AhokBikinRusuhNegri"
2019-11-19 22:34:10+00:00,"Baca Untuk ASN, diluar itu TERSERAH, mau cingkrang, cungkring, cankring..."
2019-11-19 14:17:40+00:00,"Bener, tapi diperbolehkan juga dong buat ASN yg memakai cingkrang, Hijab, Burqa dan cadar. Baca kalimat bersamaan kedudukannya, dan satu lagi agar dihapuskan juga dong syarat SKCK untuk lamaran pegawai ASN, BUMN dan pemerintahan lain, gimana. Itu sesuai pasal 27 "
2019-11-19 00:48:40+00:00,Urus aja buzer jkw kasus bu suk... jgn urus ustad or asn or cadar or cingkrang... 
2019-11-19 00:14:07+00:00,"@Kemenag_RI anda meminta Asn berbicara hati"".. anda berbicara ttg cadar dan celana cingkrang itu sdh menyakiti byk org. "
2019-11-18 14:38:09+00:00,Penggunaan cadar + celana cingkrang Tetap di larang untuk asn dilinggkungan menag Ngk berubah ko Kalau bukan asn bebas
2019-11-18 11:36:03+00:00,"""Mungkin teman-teman tidak tahu saya adalah pecinta celana cingkrang,"" kata Fachrul dihadapan para ASN Kemenag Aceh. "
2019-11-17 22:52:27+00:00,"Sebaiknya larangan cadar dan cingkrang itu jangan cuma diperuntukkan untuk ASN saja, tapi juga untuk semua kalangan. Laki-laki ga boleh bercadar, perempuan jangan cingkrang. Gitu. "
2019-11-17 20:07:29+00:00,"Stop kurikulum, varietas baru namanya keluarga presiden, sertifikasi layak nikah, larangan cadar dan celana cingkrang bagi ASN, Ahok ke BUMN, ini.... #ApaSik ?"
2019-11-17 15:58:30+00:00,"Lemes mergo amggaran buzzer 5 M ketahuan. Udah gitu BUMN mo diberisihin dari bau pasir gurun lagi... Asn disuruh tampil modis ala Indonesia, enggak celana kurang pas alias cingkrang. Tamatlah keuangan kadrun. Tinggal yg dari rekening ngulama. Hahahaha..."
2019-11-17 14:38:50+00:00,lo mau pake celana cingkrang juga bodo mat gw ga urusan .. laku kenapa ASN dan pegawai pemerintah ente larang pakai celana cingkrang 
2019-11-17 11:51:06+00:00,"Setelah ada larangan ASN memakai cadar dan celana cingkrang, bisa jadi setelah itu akan ada larangan ASN memelihara jenggot panjang."
2019-11-17 00:43:55+00:00,Ini dapat di usulkan menjadi Pakaian resmi ASN dimasa depan....agar terhindar dari hingar bingar celana Cingkrang dan Cadar... 
2019-11-17 00:15:46+00:00,"@Kemenag_RI , @Kemendagri_RI saya belum pernah melihat yg cingkrang, yg jidatnya gosong2, yg ber cadar2 meneriakkan NKRI harga Mati, ASN di Pati mohon dikoreksi"
2019-11-16 23:45:47+00:00,Negara punya aturan sendiri dlm merekrut ASN pegawainya : 1. tdk bercadar 2. tdk celana cingkrang 3.tidak LGBT / Homoseksual 4. tdk terpapar sbg anggota partai terlarang /orgnsasi radikal (PKI/HTI) Semua itu biar ASN netral bro! Jd nggak usah banyak bacot +jd provokator!
2019-11-15 10:47:25+00:00,"GILIRAN YG NGEBOM ( CELANA CINGKRANG , RAJIN IBADAH , ISTRI BERCADAR ) ...MUI BILANG TIDAK BERAGAMA ....MENNAG LARANG SEMUA ASN BERCELANA CINGRANG &amp; BERCADAR DEMI UTK KEAMANAN....MUI BILANG MENYSLAHKAN HAK BERIBADAH ...MUI BENAR2 ..MUNAFIK MAFIA MAFIA MUI...."
2019-11-15 08:32:19+00:00,"Ayah Naen, masing2 instansi ada aturan formal soal pakaian dinas. jangankan di kantor pemerintah, di kantor saya jg ada aturannya. Jgnkan celana cingkrang, baju yg ketat jg dilarang, apalagi pakai rok mini. kalau ngga mau, buat perusahaan sendiri, jangan jadi ASN"
2019-11-15 06:44:23+00:00,"Thank you in advance. 1. Menag uda bikin wacana asn jgn pake cadar/celana cingkrang, tapi kementrian lain, misal mentri pemberdayaan aparatur, kementrian lain kok ga ngomong hal yg sama. Jadi kaya gak integrated gitu kerja antar kementrian 2. Sampe seserius apa sih memberantas--"
